group,success_ratio,total,hits,misses,filename
Group 12 supplemental information,0.6667,24,16,8,Group_Group_12_supplemental_information.json
Group 13 supplemental information,0.9222,90,83,7,Group_Group_13_supplemental_information.json
Group 14 supplemental information,0.2581,31,8,23,Group_Group_14_supplemental_information.json
Group 15 supplemental information,0.8605,43,37,6,Group_Group_15_supplemental_information.json
Group 21 supplemental information,0.8421,19,16,3,Group_Group_21_supplemental_information.json
Group 22 supplemental information,0.5323,62,33,29,Group_Group_22_supplemental_information.json
Group 23 supplemental information,0.7162,74,53,21,Group_Group_23_supplemental_information.json
Group 25 Supplemental Information,0.4231,26,11,15,Group_Group_25_Supplemental_Information.json
Group 27 supplemental information,0.7692,39,30,9,Group_Group_27_supplemental_information.json
Group 28 Supplemental information,0.9444,18,17,1,Group_Group_28_Supplemental_information.json
Group 29 Supplemental information,0.9167,12,11,1,Group_Group_29_Supplemental_information.json
Group 3 Supplemental Information,0.6623,77,51,26,Group_Group_3_Supplemental_Information.json
Group 5 supplemental information,0.5,6,3,3,Group_Group_5_supplemental_information.json
Group 6 Supplemental Information,0.7059,68,48,20,Group_Group_6_Supplemental_Information.json
Group 7 supplemental information,0.0444,45,2,43,Group_Group_7_supplemental_information.json
group 1 supplemental information,0.6383,47,30,17,Group_group_1_supplemental_information.json
group 10 supplemental information,0.9,20,18,2,Group_group_10_supplemental_information.json
group 11 supplemental information,0.7895,19,15,4,Group_group_11_supplemental_information.json
group 16 supplemental information,0.7442,43,32,11,Group_group_16_supplemental_information.json
group 18 supplemental information,0.9778,45,44,1,Group_group_18_supplemental_information.json
group 19 supplemental information,0.8525,61,52,9,Group_group_19_supplemental_information.json
group 2 supplemental information,0.814,86,70,16,Group_group_2_supplemental_information.json
group 20 supplemental information,0.9669,121,117,4,Group_group_20_supplemental_information.json
group 24 supplemental information,0.9423,52,49,3,Group_group_24_supplemental_information.json
group 30 supplemental information,0.6667,51,34,17,Group_group_30_supplemental_information.json
group 32 supplemental information,0.7188,32,23,9,Group_group_32_supplemental_information.json
group 8 supplemental information,0.7333,45,33,12,Group_group_8_supplemental_information.json
group 9 supplemental information,1.0,3,3,0,Group_group_9_supplemental_information.json
